id,name,email,geography,employment_type,loan_purpose,loan_amount,monthly_income,outstanding_balance,tenure_months
704ac014-9c7e-4d83-84da-85e974d9a20b,Tricia Valencia,frazierdanny@example.net,Asia,Salaried,Other,112337,6055.75,89869.6,24
eac3ae88-3be2-4ea5-9e21-a212ea74b284,Patricia Peterson,ryan70@example.net,Europe,Salaried,Education,155502,11085.666666666666,124401.6,60
472e8228-5211-4a33-9ca7-63c129dad334,Deborah Mason,williamrodriguez@example.net,North America,Self-Employed,Home,185872,11930.583333333334,148697.6,60
205e7353-57a9-4f73-b197-853ef0fe7b3d,Mark Lynch,nathanielmartin@example.net,Europe,Part-time,Other,116838,2832.4166666666665,93470.40000000001,24
ed4cca1b-4bd0-46b2-8515-df48aab710d3,Linda Burns,hickmannatasha@example.com,Europe,Unemployed,Other,134959,12192.916666666666,107967.20000000001,36
aba334db-9761-4646-a483-f04764f7edc9,David Bradley,millertodd@example.org,North America,Self-Employed,Education,194017,8441.0,155213.6,48
2f5cbaac-a280-48d5-b22b-bb02cafdfa9d,Kim Martinez,karroyo@example.com,Asia,Salaried,Other,169392,12237.916666666666,135513.6,48
4453f76b-8ed5-44e3-bad0-3ae780545074,Lisa Brandt,jenniferross@example.net,North America,Self-Employed,Business,249316,7615.916666666667,199452.80000000002,24
2d866c99-e816-43f1-9a4b-ab40838f5a5d,Jessica Holmes,wrightcaleb@example.org,North America,Salaried,Other,189310,7802.666666666667,151448.0,60
bba2e3be-1cd2-47f2-9e1a-c11405708b0d,Crystal Robinson,zimmermanbrian@example.org,South America,Self-Employed,Other,132178,7731.083333333333,105742.40000000001,12
6b46f2ce-c6bf-4669-bd94-5b6705ad20b2,Shannon Jones,joshuawashington@example.net,Europe,Self-Employed,Home,6855,3473.0833333333335,5484.0,48
714a9a2d-57ef-43c6-89ef-052d6ff565e9,Timothy Duncan,esanchez@example.com,South America,Unemployed,Business,245069,8082.583333333333,196055.2,36
3670d3e5-56be-4273-adc8-24b2795a1775,Brent Jordan,ujenkins@example.org,Europe,Unemployed,Other,105519,3641.8333333333335,84415.20000000001,60
6e6dfbe6-ab69-40de-99a6-e2fdcd5e79ce,Victoria Garcia,zchandler@example.org,Asia,Salaried,Education,147622,11567.916666666666,118097.6,24
c53d9030-70fd-44f7-9613-2873e852b950,Connor West,dwhite@example.org,South America,Unemployed,Home,241986,10833.833333333334,193588.80000000002,36
60604d0c-f862-4992-9c0b-9cbc861fec93,Angela Morton,williamsyvette@example.org,North America,Salaried,Auto,146536,5383.583333333333,117228.8,36
a3961ad6-74ab-4386-bc30-781b16c15611,Tammy Allison,richardolson@example.com,South America,Unemployed,Auto,12250,9825.083333333334,9800.0,24
4cbdbf28-aeaf-4cc8-aaa0-7ac858805312,Carmen Smith,ybaker@example.com,North America,Self-Employed,Business,45630,8054.75,36504.0,36
00841ed3-4aa4-4c5c-b349-9c4da495c71b,Michael Cross,smoore@example.org,Europe,Salaried,Business,247576,5109.166666666667,198060.80000000002,60
4ee723b9-7943-4c21-ab6f-06838cbf20de,Lauren Daniels,brian97@example.net,South America,Part-time,Other,185263,11568.416666666666,148210.4,48
c5b28073-dd9a-44f8-8774-cf4dee638295,Kim Brown,yorkcasey@example.org,South America,Self-Employed,Other,88784,3597.5833333333335,71027.2,60
07abc996-4553-4dcd-8844-00a372478c69,Cynthia Wilson,bethwilliams@example.org,Europe,Part-time,Auto,175528,8207.083333333334,140422.4,36
e586e841-dfc1-43c7-bc6c-39a13484fc49,Kevin Mills,james53@example.com,Africa,Self-Employed,Auto,167934,4450.583333333333,134347.2,60
597d8c63-e7bd-46c0-84fd-112e8b71db38,Michael Evans,sarah10@example.com,South America,Salaried,Other,67810,2809.75,54248.0,60
00e7cfdb-9880-43e9-a17b-5f7eff74ab7f,Kristine Garcia,williamanderson@example.com,Africa,Salaried,Business,203775,3821.5,163020.0,48
2990adb3-8e42-4658-b64a-4bc03b2b3473,Sherry Wood,samueldaniels@example.com,North America,Part-time,Auto,51144,5612.75,40915.200000000004,60
45a53d99-0cdd-4b6d-82ae-5e4d9c593187,Victoria Valdez,contrerasangela@example.net,North America,Part-time,Home,202913,9299.5,162330.40000000002,24
a75bb443-5c69-4fb1-833b-c11b1da524da,Shawn Baker,newtoneric@example.com,Africa,Self-Employed,Home,89235,8493.75,71388.0,12
c2e39614-4da1-44b0-92cd-cd43ea76e266,Michelle Harris,william40@example.org,Asia,Part-time,Education,160790,5362.416666666667,128632.0,36
b3b95ff4-3fe5-49ff-a581-a42217935590,Sandra Williams,kellie42@example.net,Africa,Self-Employed,Other,14410,10408.25,11528.0,60
a2acda3e-69cd-45c6-baeb-ded06e6fae6a,Michael Hoffman,jonesnicole@example.org,Africa,Self-Employed,Business,185019,3011.25,148015.2,24
1b79a553-5ec0-4a0a-98ed-42249e6d227a,Sandra Aguilar,russellwilliams@example.com,Asia,Unemployed,Education,103958,11520.666666666666,83166.40000000001,36
9524605e-89bf-4c53-990a-8f79991a34ab,Rebecca Valencia,jason31@example.com,Africa,Unemployed,Home,204640,1805.6666666666667,163712.0,36
bbb19b0c-bd06-4149-8a46-cde80407c3cc,Stacey Russell,sarayoung@example.org,Africa,Self-Employed,Home,219987,4530.25,175989.6,60
ef0d6cef-35f9-4cb6-b86e-f20c7932c8d6,Rita Keith,whitesandra@example.com,Europe,Self-Employed,Education,240889,12208.916666666666,192711.2,36
9e41aa29-9ddf-4748-8183-2d515abf78a9,Sharon Cochran,erik16@example.org,Europe,Self-Employed,Auto,219945,11762.0,175956.0,12
28cfdb87-488d-4709-a6a8-96e5e7118cb5,Courtney Velasquez,ybailey@example.org,South America,Self-Employed,Education,141926,10495.833333333334,113540.8,48
5f1460b4-d83c-44a3-a8bc-7813fc0fa05a,Matthew Ross,michelle45@example.net,North America,Part-time,Auto,17202,12322.083333333334,13761.6,12
19382e34-7f8c-4386-82f1-e80fdee4333d,Meghan Anthony,sheila14@example.org,Europe,Unemployed,Auto,158060,9241.916666666666,126448.0,60
5ae92f92-2489-4581-8165-18bdc00ce554,Victoria Johnson,yreed@example.com,North America,Salaried,Home,11643,9227.5,9314.4,60
2b89be3f-854e-4e5d-9589-b1a8020959b7,William Wilson,jonathanfletcher@example.org,South America,Salaried,Business,197889,2026.1666666666667,158311.2,60
67a1480f-4735-4e86-bd8d-be5727e79c65,Renee Mcdaniel,michaeljones@example.net,North America,Unemployed,Home,199760,7820.833333333333,159808.0,12
260d8681-8a64-4e80-b13e-85bf1a3536ee,Lisa Alvarado,cortezkevin@example.com,South America,Salaried,Education,182776,9069.416666666666,146220.80000000002,36
1cc1133c-6e04-4122-945c-e46d29ce5df5,Erika Terry,jamesortega@example.com,North America,Unemployed,Auto,12756,9681.833333333334,10204.800000000001,36
5e0dd0fa-2083-4ded-81be-a53cfdd1003f,Stephanie Gilbert,richard04@example.com,South America,Part-time,Education,37358,6994.166666666667,29886.4,12
de59cbdb-9272-424d-95af-dc79500aa6c2,Richard Lawson,steven73@example.net,Asia,Self-Employed,Auto,43936,1894.25,35148.8,24
a796abf7-18ea-4afa-bf0c-dd6f17749e61,Steven Flynn,donnacampbell@example.net,South America,Salaried,Business,185680,8455.5,148544.0,60
3d0dc84b-947a-48c2-92e7-6e4171298a96,Frances Cardenas,emilywalker@example.org,Africa,Salaried,Other,197706,8837.833333333334,158164.80000000002,36
edc3aa51-ba1e-4070-8976-0b2e34518a78,Angel Riggs,gibsonolivia@example.net,Europe,Unemployed,Auto,149741,11593.0,119792.8,36
67dee245-0215-4871-a87a-5573c20a4880,Michael Snyder,dylanwatts@example.org,Europe,Salaried,Other,135101,7636.666666666667,108080.8,36
bfcfdc3f-13d3-4669-8415-58e11407c35e,Colleen Brock,pwilliams@example.org,Europe,Part-time,Business,108832,1465.25,87065.6,24
db5b598f-d8d5-4a58-a576-74dfb2576c86,Robert Contreras,stephanie79@example.net,Asia,Unemployed,Business,205279,9388.25,164223.2,24
aee53d10-40ea-46c9-bacd-5a9faf2ab64c,Jessica Meadows,vmerritt@example.com,North America,Self-Employed,Education,11181,9849.25,8944.800000000001,48
c8cd1aff-e43a-4d78-b953-032ecf307f05,Paul Larsen,katie87@example.net,South America,Unemployed,Auto,173032,11559.166666666666,138425.6,60
d3654647-2425-46e4-918a-6b5eba4a72f8,Jeremiah Reeves,josephflores@example.net,Asia,Part-time,Other,26875,10692.25,21500.0,12
5ffdd383-650e-4c48-bc4a-3c81c9b75267,Chris Reyes,jasminebrown@example.com,Africa,Self-Employed,Auto,114442,12126.25,91553.6,36
21e3d91e-661b-4ad1-8ae0-cc198dfdb843,John Brown,xprice@example.net,North America,Salaried,Other,60481,7959.583333333333,48384.8,48
2f724a78-d169-4458-953d-bcc872e974e0,Alicia Gilmore,wwoods@example.com,Africa,Salaried,Education,120301,2159.0833333333335,96240.8,24
97ceeefe-587c-44d1-afd7-519b0362aafb,Sarah Ashley,vmedina@example.net,Africa,Unemployed,Home,90546,2462.8333333333335,72436.8,60
0ab365fe-a87b-45a8-9372-c57683c8c125,Stephanie Freeman,ryan06@example.com,Africa,Part-time,Home,175570,9584.416666666666,140456.0,12
f008391f-2d95-46c6-8e41-f0eb48c6f5f2,Rebecca Ramsey,ncalhoun@example.net,Asia,Unemployed,Other,12198,4633.083333333333,9758.4,36
7c3f52fd-5d91-4b46-94a1-3878a148b77a,James Elliott,millerroy@example.com,South America,Part-time,Home,178553,9370.25,142842.4,24
936202e7-3ad0-4318-b2fe-0fc2ce6180c3,David Murphy,wmurphy@example.com,Africa,Salaried,Home,234793,7312.5,187834.40000000002,24
a643438c-4395-4b76-9c00-673066304d7a,Trevor Fisher,ruizkaitlyn@example.org,South America,Unemployed,Auto,66444,11619.333333333334,53155.200000000004,24
fb86b58a-a661-438c-a032-10f807b3a737,Mrs. Marie Harrington DDS,herringjames@example.org,South America,Unemployed,Education,142979,8895.833333333334,114383.20000000001,24
118e8c90-2ffe-4216-9573-d0282961a3e9,Cynthia Wells,elliottjeffery@example.net,North America,Self-Employed,Business,136885,8936.0,109508.0,48
71f94ef2-c320-4a29-9704-90da8f50cc07,Jacob Obrien,stricklandfrank@example.com,Asia,Part-time,Education,7904,4395.916666666667,6323.200000000001,48
53c440c5-37c3-4924-9bf4-85e156fa0bab,Alexander Collins,tsanders@example.org,South America,Unemployed,Business,221098,12393.833333333334,176878.40000000002,48
d7f924db-c00e-4d78-8d9f-645685e44523,Michael Burton,terrykevin@example.net,Asia,Self-Employed,Home,6523,10348.833333333334,5218.400000000001,36
e41ef698-da5b-4828-9d5f-f976372dbb10,Barbara Riggs,reedross@example.com,Africa,Self-Employed,Auto,135404,11818.5,108323.20000000001,12
f2f20bed-e3b6-45e4-92bc-8e3147eaf86b,Matthew Smith,gshort@example.com,Africa,Salaried,Home,25022,7314.583333333333,20017.600000000002,24
1f66cc8b-af8d-4117-8c8c-67f7879b9dcf,Madison Poole,ryangross@example.net,South America,Unemployed,Home,170652,3877.75,136521.6,36
317bf516-6bd0-415f-893d-c4d9e8eb5cc0,Robert Medina,umarshall@example.net,Europe,Self-Employed,Auto,21565,9228.75,17252.0,60
187b03e1-d56f-4869-b376-845daa4e253b,Samuel Rivas,ramirezshannon@example.com,Africa,Self-Employed,Education,67102,3138.25,53681.600000000006,36
6a3b101d-a56e-4fb7-9835-c70465d80504,Mary Rogers,lrosales@example.com,Europe,Salaried,Auto,51182,8258.333333333334,40945.600000000006,48
4d80fa2a-702f-4c8e-8633-96d36e77f044,Robert Peterson,angela83@example.org,Europe,Unemployed,Home,201145,8549.666666666666,160916.0,24
dc61f28f-5e7d-45e6-b7a9-bf59cf2b5e9b,Jason Peters,hannahbrewer@example.com,Asia,Salaried,Auto,184751,2146.9166666666665,147800.80000000002,48
58170b9c-e0bb-4315-b713-8e2e92087b30,Alan Phillips,tholt@example.net,Europe,Unemployed,Home,98286,4704.5,78628.8,12
d4ef515f-8f2d-4423-8dce-f25efab08cb6,Kara Schmidt,jbarajas@example.com,North America,Unemployed,Home,45250,9637.916666666666,36200.0,36
f1c2d861-c50a-46dc-8283-4f3f86f47c1a,Jesse Parker,davidlee@example.org,Asia,Part-time,Education,211913,2868.4166666666665,169530.40000000002,12
45be677f-0988-406d-b082-0b7b3fd456ad,Tiffany Vaughn,javierwashington@example.net,South America,Salaried,Other,11700,1708.0,9360.0,36
17557477-9e7c-4145-b582-85d7b94dca92,Paige Carlson,wallkenneth@example.com,Asia,Unemployed,Auto,151838,11979.25,121470.40000000001,36
89e6a41d-1214-4f08-b878-3d0d98b236be,Adrian Ferguson,brandon08@example.com,Europe,Part-time,Home,104512,5323.5,83609.6,48
bf742f0c-9234-4a27-84a5-66e35b90bb35,Beth Oneill,agarcia@example.net,Asia,Self-Employed,Education,114946,3823.25,91956.8,12
b7ecd097-81a8-4a79-a5ca-4ccb8fb15800,John Peterson,kingmichelle@example.org,South America,Unemployed,Education,249243,5779.416666666667,199394.40000000002,36
81e55db4-0a86-4654-81b6-450f1741e597,Jennifer Jones,hernandezlisa@example.com,Europe,Unemployed,Other,202614,11535.666666666666,162091.2,36
397753a5-39d2-4997-be06-64d33eb440dc,David Grant,yobrien@example.net,Europe,Unemployed,Other,69689,12001.0,55751.200000000004,60
ba0cf098-1dae-4312-9a56-90f030cbb972,Joseph Hayes,levans@example.com,Asia,Part-time,Home,131947,6572.333333333333,105557.6,60
bd993f25-e235-4234-a86d-9ca1352f8725,Marc Lynch,mezajared@example.org,Africa,Part-time,Auto,164819,1719.5833333333333,131855.2,48
aa5fa719-600c-4629-a16b-f77ab3baf5c3,Brad Allen,moorericky@example.net,Africa,Self-Employed,Education,127439,8620.0,101951.20000000001,60
587b8d64-9187-4411-bc7a-27a092a5d3c3,Doris Hall,jacqueline71@example.net,Europe,Unemployed,Home,172925,1899.0833333333333,138340.0,60
2662a053-b5ce-449a-b4d8-9c6e28266355,Dennis Moody,ronaldstephens@example.net,South America,Unemployed,Auto,15729,2224.6666666666665,12583.2,24
53ec0981-d7f6-4cf8-ae93-87eda477fd5d,Derek Thomas,martinkyle@example.net,Africa,Salaried,Education,175155,6758.25,140124.0,60
dc036f6f-7aa4-4435-9a2f-3c5ac9fca80a,Tammy Gonzales,sbarker@example.com,South America,Unemployed,Home,216486,6416.333333333333,173188.80000000002,24
414d97f3-8902-473a-9718-a432860c4562,Kathryn Snyder,georgepamela@example.net,South America,Part-time,Business,63727,7569.333333333333,50981.600000000006,24
256c31d8-cf77-4701-8419-33a64f7c11f3,David Davis,keyemily@example.com,North America,Unemployed,Education,206760,10755.416666666666,165408.0,36
20eb3242-405e-4a59-abe6-4dfcad3ec806,Pamela Thompson,lmoon@example.net,North America,Salaried,Other,244795,1960.5833333333333,195836.0,60
d6b4d897-063d-4851-801c-72d064f742ea,Robert Costa,vbailey@example.com,North America,Part-time,Home,246628,5682.666666666667,197302.40000000002,24
e247aa06-9209-41a8-9c0e-2a8a4449b63d,Shannon Rivera,zroberts@example.net,Africa,Salaried,Education,147457,12183.25,117965.6,60
ec6f8de0-3d79-4b1d-b2f7-6de54e3e392c,Brandon King,cordovarichard@example.net,Asia,Self-Employed,Auto,54731,12175.25,43784.8,36
53c6eaff-32c7-4604-b6be-d1f815e4c338,April Booth,mgutierrez@example.net,South America,Part-time,Education,224660,6571.833333333333,179728.0,12
96f7e1ae-fffc-4cf5-b3cf-787c5006ebb9,Peter Garrett,harrisandrea@example.com,North America,Part-time,Auto,96150,4212.0,76920.0,36
73e44760-9e2c-46fc-bcf6-f4b5f1da092c,Michael Martinez,jennifercollins@example.org,Asia,Salaried,Auto,7659,4853.666666666667,6127.200000000001,48
e5450b10-c3a5-4d6e-abc5-a92e3791cd6a,Anna Gay,murraydavid@example.org,Asia,Unemployed,Education,169844,9072.166666666666,135875.2,12
d44efc9c-7ec7-432e-abb3-0c35b3066cab,Dr. Jordan Hill PhD,jsanchez@example.org,Asia,Self-Employed,Education,242953,5060.0,194362.40000000002,36
4d4551f6-d6fa-4944-b9e8-a246ee23e068,Thomas Romero,michellehill@example.com,Europe,Salaried,Auto,182112,3747.8333333333335,145689.6,24
f289944f-a71f-4ca2-8523-f193ed35c515,Richard Adams,campbellkenneth@example.net,North America,Self-Employed,Other,205555,7477.083333333333,164444.0,12
c2bc3b3f-0438-4a52-9ee8-679c8bdf3849,Mary Grimes,wryan@example.com,North America,Self-Employed,Other,189959,4140.916666666667,151967.2,24
62d765b8-81c7-44bc-b24e-6b4d91535feb,Kimberly Gibson,molly39@example.com,Europe,Salaried,Education,143234,11510.75,114587.20000000001,48
7592be2c-a507-4d93-82f3-46bd5ce5ec56,Reginald Williams,zthornton@example.com,Africa,Unemployed,Other,221956,6337.166666666667,177564.80000000002,24
80a9ecab-2195-4b81-9fdd-370a729b5532,Matthew Hoover,tylerjohnson@example.net,South America,Self-Employed,Business,40142,6397.083333333333,32113.600000000002,60
8f226d2d-9ff2-44ea-96bc-e30aa65498c8,Evelyn Garcia,dgarcia@example.org,Europe,Unemployed,Auto,142337,11405.083333333334,113869.6,24
1b819e88-ac3d-4799-b94d-c7121fbe158a,Jennifer Pena,charlesharrington@example.com,North America,Unemployed,Auto,227855,6202.25,182284.0,24
d699c71e-2f70-4b3d-a322-84164778cf0c,Michael Santos,melissa86@example.com,South America,Unemployed,Education,50364,5936.666666666667,40291.200000000004,36
a13c881d-42ab-41aa-b1ca-df3dcf0e531c,Stacy Freeman,williamsonjimmy@example.net,Africa,Salaried,Other,232249,8414.0,185799.2,12
4a500f71-20b3-4561-bf64-b2afa839570c,Yolanda Francis,wgood@example.net,Asia,Unemployed,Education,116770,5943.916666666667,93416.0,12
07a0d60e-2319-4734-bd36-fd6882c4b2e2,Ashlee Jackson,rebecca05@example.org,Asia,Self-Employed,Business,26552,4421.666666666667,21241.600000000002,24
31de9a7d-9f39-4add-9426-25648a8c9b2b,James Thomas,yknight@example.org,Africa,Self-Employed,Business,122914,1892.1666666666667,98331.20000000001,24
a501ff5d-d2bb-4c0a-ab22-e7ddab97e371,Bob Pitts,tyleraguilar@example.org,Asia,Self-Employed,Other,131699,1735.9166666666667,105359.20000000001,60
824f8b86-b21f-4c6a-be5f-6f3034a35615,David Scott,nolansteven@example.com,North America,Self-Employed,Education,14595,12132.416666666666,11676.0,60
357cd633-d653-45bf-b9e9-8c2d020dd273,Brooke Alexander,vanessa46@example.net,Europe,Part-time,Education,176323,11114.5,141058.4,36
b9d58e5b-fded-485c-83f8-6caf7e1e6a3e,Ryan Gonzalez,gcastaneda@example.org,Africa,Part-time,Business,177622,3697.4166666666665,142097.6,12
a14b8ca8-44cc-4c82-87ef-406096ac44e2,Ian Phillips,andrew64@example.org,North America,Unemployed,Education,205542,3736.8333333333335,164433.6,12
ba638203-5c15-4646-bb8d-2afa078a6be9,Melissa Garner,lozanojulie@example.com,South America,Unemployed,Other,223994,5742.416666666667,179195.2,24
445c8379-d887-4132-a5ed-baf4ccf21dfc,Crystal Pham,danaoliver@example.net,Europe,Salaried,Auto,234610,4666.083333333333,187688.0,60
1c6a246b-93e3-4371-aa6e-3036f5d9ef0d,Patricia Becker,courtneyberger@example.net,Europe,Unemployed,Business,140231,10394.416666666666,112184.8,60
75ae0c6b-3a7b-4329-8925-a842c901ff5b,Richard Johnson,jessica14@example.com,Europe,Self-Employed,Home,131091,7669.416666666667,104872.8,48
8d2c6b6d-2028-40dc-b9ce-263db8408665,Casey Anderson,alyssa42@example.com,South America,Salaried,Other,246459,9269.083333333334,197167.2,60
eb46b285-c337-43fa-bc48-1297ac99a4e6,Terry Coffey,julie51@example.com,Asia,Salaried,Education,214144,5130.0,171315.2,48
c5304af4-dd83-4cc8-ab02-b411e64d314e,Brenda Levy,zcoffey@example.net,Africa,Unemployed,Education,133708,3221.4166666666665,106966.40000000001,36
35333be0-3c57-40a1-97e7-1c8fdd566197,Richard Smith,gibsonemily@example.net,Asia,Self-Employed,Education,209169,8783.916666666666,167335.2,24
50c66752-8f97-4c73-a4ce-d4748b49d9c9,James Little,daniel37@example.org,Africa,Salaried,Business,15311,2595.1666666666665,12248.800000000001,48
3ed1b90e-057c-47c2-9c49-d01094f9d793,Terri Murphy,deborahreid@example.com,Asia,Salaried,Business,106916,2676.3333333333335,85532.8,24
94380498-ab0e-4bd4-adca-1d4babe7d0b7,Elizabeth Ortiz,brandonjohnson@example.com,Europe,Unemployed,Auto,222430,8527.666666666666,177944.0,60
a724fc23-f180-4370-83cc-185f0f110d41,David Medina,qchavez@example.net,Africa,Unemployed,Business,117650,1359.75,94120.0,24
64335a85-b8b7-4fb7-a301-db021bb06bc6,Kimberly Matthews,nicolepena@example.com,Asia,Unemployed,Business,187904,3328.5833333333335,150323.2,48
dccea67c-03ae-4b81-a7c9-bbcf63337539,Teresa Ramirez,jeff73@example.com,Africa,Self-Employed,Auto,113637,5762.583333333333,90909.6,24
33320d9a-2cd7-42a5-b411-a44bdb8bdc78,Michael Stephens,bruce43@example.org,Europe,Unemployed,Auto,8170,2607.5,6536.0,48
e648b0ba-dfb3-472f-852e-35115b1665e7,Samantha Davis,darleneharper@example.org,Africa,Part-time,Other,88052,3839.6666666666665,70441.6,24
3f58fb04-b497-4a61-ad25-a9d528f47d06,Gavin Zhang,caseyhubbard@example.org,North America,Salaried,Education,131057,9991.333333333334,104845.6,48
57f9b068-d8b5-45c2-97b3-7d59be554aa3,Robin Hall,kristinacarlson@example.com,North America,Part-time,Home,23963,1897.4166666666667,19170.4,36
784ff468-7da8-415e-858e-2386cf7c4ddb,Brianna Anderson,lauren10@example.org,Africa,Part-time,Other,199883,7045.166666666667,159906.40000000002,24
4b05e5c5-0672-4be6-8aac-50d8f0f86ba6,Richard Young,alfred40@example.org,Europe,Self-Employed,Education,23999,8009.166666666667,19199.2,24
b173f368-322d-44a4-899f-4c93c37a4827,Kelly Reese,xwest@example.net,South America,Part-time,Home,206991,5057.916666666667,165592.80000000002,48
4236374d-51e8-403c-8f41-10782e8fa45f,Jodi Walker,acostaregina@example.net,Europe,Salaried,Business,141207,3890.0833333333335,112965.6,12
424107f8-afd2-45cb-9de6-4c69bead7610,Judith Maynard,lutzmelanie@example.com,Europe,Salaried,Education,217621,7639.166666666667,174096.80000000002,60
5642c74b-5599-4eb0-8a6e-b0b6b9e9564b,Katherine Browning,lammarc@example.org,Africa,Part-time,Home,53174,4365.333333333333,42539.200000000004,48
391456f9-b584-44e6-9a52-88daad51fc30,Donald Schultz,oscar98@example.com,Asia,Unemployed,Education,192092,8729.333333333334,153673.6,48
76218a57-4c7e-4bb5-abee-da5b2d2760a4,Larry Garcia,farrelldebra@example.net,North America,Unemployed,Business,12069,7980.0,9655.2,48
20d72546-108a-4740-b260-1bbb87b1b4c8,Cindy Hayes,robertwilcox@example.com,North America,Self-Employed,Business,160243,2604.3333333333335,128194.40000000001,60
06f98e0b-e9c8-4465-9f28-9b87e5d292c7,Brandon Simmons,nicholas27@example.org,North America,Self-Employed,Auto,66582,11214.0,53265.600000000006,12
7c3364dd-4dfb-4b06-b907-76b3b5a5f315,Bradley Reynolds,lisa80@example.net,Asia,Unemployed,Home,123104,3312.9166666666665,98483.20000000001,48
37b1f542-c485-48b4-86c2-8f37b9308378,Kristina Santiago,qgomez@example.com,Europe,Salaried,Education,135432,5950.416666666667,108345.6,60
c5ceabd4-73d8-4a50-af45-cab24aa51a3b,Michelle Schmitt,michael98@example.org,South America,Unemployed,Home,91662,2498.75,73329.6,24
8510651a-3692-48ec-bc9f-d6fdb17109d1,John Boone,megan51@example.com,Europe,Self-Employed,Home,60859,11131.5,48687.200000000004,36
bef54e91-6c26-4601-ade6-91582206753b,Renee Bruce,lynchdiane@example.net,Asia,Part-time,Home,19308,2542.5833333333335,15446.400000000001,36
478fb74c-2942-416e-bae7-614e5ed04e05,Christopher Park,sandra50@example.org,Africa,Self-Employed,Auto,71441,2361.5,57152.8,48
e85175e4-a6d8-4faa-a675-a17900387856,Kylie Morales,joycebonilla@example.org,Africa,Salaried,Home,209366,1333.0833333333333,167492.80000000002,60
45d81114-8cef-4e32-b760-183db819658c,Cindy Barnes,eric45@example.net,Europe,Part-time,Other,152002,7626.416666666667,121601.6,12
2c2325d2-00c8-4c97-a045-7674244bd161,Sophia Moore,craigjoseph@example.net,Asia,Salaried,Auto,18555,10021.0,14844.0,24
1f89155e-7d03-4c77-91fd-51e9e12c2846,Lawrence Perry,kariwilson@example.com,Europe,Part-time,Education,68213,6420.583333333333,54570.4,12
6208a9d1-d3d9-46f6-a05d-18f07075d541,Michael Watkins,brandon69@example.org,South America,Salaried,Home,238154,7034.166666666667,190523.2,12
29e34ad1-44f4-451c-83c1-27202f00df84,Eric Clark,kathrynroberts@example.org,South America,Self-Employed,Auto,216864,7571.333333333333,173491.2,24
21acc0be-da4f-4e8c-8b5d-ffe2a186e928,Paul Thompson,opatel@example.net,South America,Self-Employed,Home,181806,4602.833333333333,145444.80000000002,36
f68d5526-22b8-4370-a522-388614c65b37,Mary Gomez,chensley@example.com,South America,Part-time,Education,218040,10090.416666666666,174432.0,12
32cb9d78-ef97-4c37-aee2-363a2c1bd1c6,Thomas Atkins,tberry@example.net,Europe,Part-time,Home,190919,4850.083333333333,152735.2,12
f3abacdb-03ad-4f91-ba12-c25d81ee2ad8,Brian Smith,george97@example.net,Africa,Unemployed,Home,100264,4839.25,80211.20000000001,48
